NUTS_ID,NAME_LATN,NUTS_NAME,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UKK,South West (England),South West (England),9.63291139240506,12.0391459074733,20.3505154639175,52.904593639576,5,0,9.5593220338983,13.2692307692308,76.5123674911661,102.745583038869,27.9822064056939,9.38260869565217,27.0106007067138,8.19,90.452296819788,22.7114624505929,26.7102473498233,6.30769230769231,5.27848101265823,6.11570247933884,14.6702898550725,10.5263157894737,46.2508833922262,15.0709219858156,10.125,6.02380952380952,32.7067137809187,5.16666666666667,10.6926406926407,15.3523131672598,34.208480565371,14.339222614841,19.7526501766784,5.86206896551724,14.7234042553192,5.5625,5.63157894736842,32.6572438162544,8.4,58.0848056537103,9
AT2,Südösterreich,Südösterreich,13.930612244898,31.6724137931034,17.5674603174603,12.312,10.6775510204082,17.203007518797,12.35,12.9420289855072,6.66666666666667,21.4584717607973,19.9015748031496,54.2790697674419,37.2,15.8651685393258,9.73873873873874,22.9225589225589,15.3390410958904,8.19277108433735,13.9256198347107,26.1073825503356,23.8896551724138,18.19723183391,51.1029900332226,8.31578947368421,20.1323529411765,35.8256227758007,30.0132890365448,8.5,10.5763888888889,13.4944237918216,23.2951388888889,17.1815068493151,43.8471760797342,14.84,21.1554054054054,9.26808510638298,32.421926910299,15.2432432432432,25.7961538461538,24.1176470588235,15.2166666666667
DE1,Baden-Württemberg,Baden-Württemberg,16.7515151515152,9.39194139194139,19.1565836298932,10.9819587628866,8.02403846153846,8.41818181818182,9.03125,7.98930481283423,16.0837209302326,45.5829493087558,48.4654377880184,26.4377880184332,9.88793103448276,8.6969696969697,8.04854368932039,9.80821917808219,19.6550925925926,15.5984848484848,10.5232558139535,14.8647887323944,14.5536912751678,21.3433179723502,163.170506912442,26.1476683937824,21.3759398496241,21.9634146341463,26.6336405529954,13.2757009345794,10.7665505226481,18.3747072599532,90.4470046082949,26.473441108545,15.9007444168735,66.7004608294931,67.1428571428571,18.0620525059666,35.1336405529954,108.65668202765,40.4769585253456,86.2764976958525,10.4455205811138
FRC,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,5.08333333333333,12.2658959537572,16.9366515837104,7.80525164113786,11.341796875,8.33823529411765,8.12,7.58139534883721,37.195079086116,34.8998242530756,42.4094903339192,24.8804920913884,29.2888482632541,9.38461538461539,11.2287234042553,36.6254545454545,37.4130052724077,30.5869947275923,10.2249322493225,8.33476394849785,5.17647058823529,20.0959147424512,127.1230228471,16.8688845401174,21.1768953068592,31.4182776801406,26.5694200351494,9.16901408450704,8.41176470588235,12.0371428571429,82.5219683655536,14.7019748653501,10.092050209205,46.2618629173989,64.8330404217926,18.1597096188748,30.6063268892794,94.0087873462214,97.5079086115993,133.369068541301,10.3649373881932
SE3,Norra Sverige,Norra Sverige,18.6013220879872,21.5690670720122,18.5734237009653,21.8190795970768,31.8549242424242,48.7284246575342,13.0948075432705,38.7956989247312,18.2720832410892,22.7503526093089,20.0525809554344,27.7359307359307,15.8193424832429,66.4227405247813,42.2396449704142,16.3412666397741,33.9677996422182,13.5505171042164,14.5156320797463,11.3272080616479,13.1519632840388,41.1858670874978,20.4782273603083,14.5461538461538,13.8911713286713,27.9953993375046,20.3085446934253,15.8132177173658,13.5882352941176,20.48691767709,20.242337164751,28.08276714021,23.7246376811594,22.4997161778619,10.3998682476943,13.7229669347632,11.1340807174888,84.8494863013699,16.1537779747396,28.1338846229573,18.3561368209256
LV0,Latvija,Latvija,10.5217391304348,9.23591549295775,13.1888667992048,10.6175496688742,13.5479143179256,9.65151515151515,8.65537848605578,6.35849056603774,21.815331010453,35.281045751634,6.45614035087719,69.8877995642702,15.5904139433551,30.0610021786492,14.3782668500688,57.6328976034858,22.1382113821138,5.41666666666667,37.3779956427015,26.4651416122004,5,98.8028322440087,18.8626865671642,16.4144869215292,13.4964234620887,65.8758169934641,24.9880174291939,18.4150326797386,16.9705882352941,7.375,13.8717948717949,5.33333333333333,34.5770348837209,11.3958587088916,18.3634146341463,20.2277628032345,10.4444444444444,66.3954248366013,60.2418300653595,23.3344334433443,7
LI0,Liechtenstein,Liechtenstein,7,33,0,17,7,13,8,0,5,17,45,11,20,7,5,25,18,12,7,7,6,16,62,6,14,51,27,0,0,16,27,0,34,5,20,0,33,30,32,43,0
ES4,Centro (ES),Centro (ES),16.0846994535519,28.2081784386617,29.0115410726409,8.89850746268657,19.0024509803922,26.523102310231,18.4842639593909,9.6015037593985,8.61473087818697,18.851572327044,31.0343461030383,44.1445891333633,14.4084863837872,51.93125,55.0431748800698,8.39130434782609,33.5004906771344,9.3614931237721,28.9218651543793,33.0312362516498,21.3329646017699,18.9645328719723,15.0051880674449,8.30540540540541,80.658183413778,25.3020735155514,7.90334572490706,14.3183568677792,64.7058291911432,19.9183098591549,17.3165699548678,92.3177651680489,15.6091094493542,26.3016037247801,33.2025539409952,20.9077757685353,45.4674012855831,7.18390804597701,59.1216512955643,12.0767279644895,5
DEC,Saarland,Saarland,0,11.5483870967742,41.9354838709677,6.9,0,0,0,0,5.54545454545455,53.258064516129,65.6774193548387,13.4193548387097,78.4838709677419,11.56,0,23.9354838709677,19.8709677419355,14.258064516129,10.5161290322581,10.75,11.5,15.6451612903226,96.5161290322581,0,10.3846153846154,19.6129032258065,25.2903225806452,15.5806451612903,7.96551724137931,11.4814814814815,106.548387096774,32.8709677419355,5,72,88.741935483871,29.8709677419355,54.258064516129,101.516129032258,68.8387096774194,185.064516129032,10.0967741935484
ITH,Nord-Est,Nord-Est,9.30689655172414,21.8133140376266,16.2606177606178,21.6567567567568,15.9374068554396,22.1615384615385,15.2368421052632,9.70700636942675,15.375,28.2733711048159,27.5761024182077,35.8082975679542,29.9395348837209,19.7337278106509,15.5295109612142,18.198250728863,40.7893258426966,27.3805732484076,8.27459016393443,27.1169757489301,13.541095890411,13.580372250423,76.461752433936,15.3753213367609,13.0629370629371,35.2162162162162,30.1106442577031,11.2298387096774,17.2358974358974,16.608040201005,38.446402349486,36.6161616161616,17.9077253218884,11.1587837837838,15.601083032491,11.9333333333333,33.2030303030303,19.2827586206897,20.7857142857143,25.1550151975684,13.4751958224543
