NUTS_ID,NAME_LATN,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
UKC,North East (England),North East (England),24,7,3,10,7,10,14,0,9,12,0,8,0,10,11,3,13,0,7,4,0,15,6,6,3,0,4,0,4,0,0,0,10,11,0,5,0,3,0,0,0,0,0,6,0,0,7,12,0,0,7,0,3,15,0,7,3,0,18,0,8,6,0,6,3,0,6,8,3,4,0,3,0,11,3,3,0,8,0,0,6,5,3,3,3,0,0,0,3,4,3,5,7,10,6
ES5,Este,Este,13,14,7,7,6,23,13,31,13,29,7,7,6,5,3,12,10,7,13,16,38,9,4,3,3,10,4,8,0,6,19,3,9,14,0,22,0,8,4,7,0,3,7,6,11,4,11,16,6,0,10,12,3,10,8,6,7,3,26,3,0,0,4,5,8,7,10,11,3,6,4,7,9,8,10,3,3,10,0,24,11,8,8,10,15,5,12,7,5,3,4,13,8,6,4
ES6,Sur,Sur,14,9,6,7,6,19,21,9,3,26,3,3,3,4,3,7,9,9,13,11,17,4,0,3,5,20,6,3,0,4,9,6,9,9,0,10,11,0,4,3,3,0,3,4,10,4,11,6,3,8,10,12,8,6,8,0,8,4,25,3,4,0,6,0,6,0,0,7,0,7,4,0,3,12,10,5,8,4,3,18,0,3,9,4,10,3,3,4,9,0,4,3,3,3,0
FRF,Grand Est,Grand Est,27,16,7,8,8,30,21,28,11,21,17,5,0,16,7,7,8,9,12,18,25,22,9,8,4,12,12,6,4,0,9,0,6,27,0,14,0,6,3,9,11,10,4,6,14,4,13,23,8,9,12,10,4,8,12,12,14,4,26,4,12,3,4,3,8,3,18,17,3,6,7,0,15,6,6,7,5,11,4,17,6,5,17,4,16,7,4,9,10,11,7,3,13,10,20
PL4,Makroregion północno-zachodni,Makroregion północno-zachodni,35,19,0,8,6,27,25,21,16,7,3,0,0,14,4,6,17,12,12,20,7,12,15,15,0,12,13,11,7,3,9,3,9,13,0,6,0,0,0,3,12,20,0,11,7,0,23,22,7,0,10,18,6,5,3,16,6,0,26,12,10,14,13,4,14,5,21,34,10,0,11,9,8,0,0,0,20,12,18,3,4,9,21,7,21,15,7,7,6,16,11,0,7,3,21
NL2,Oost-Nederland,Oost-Nederland,21,8,6,7,12,18,23,24,8,9,7,7,0,16,4,7,18,6,9,8,3,12,9,9,0,10,10,0,0,7,4,0,5,15,0,3,0,6,0,3,4,5,0,9,7,0,16,17,8,9,3,6,0,9,3,4,9,0,33,6,20,5,16,0,9,3,27,23,0,0,0,0,12,8,3,3,7,13,4,0,4,0,3,10,18,13,12,16,4,14,6,4,5,3,18
ITI,Centro (IT),Centro (IT),15,36,7,12,7,25,18,29,18,19,13,5,17,12,0,10,12,9,24,21,23,16,7,7,0,10,11,7,6,6,17,3,8,16,0,10,0,9,6,3,11,18,6,12,9,9,4,22,8,4,20,26,11,0,6,16,19,6,11,9,7,6,5,3,8,6,11,20,9,5,10,4,4,8,0,7,4,12,9,24,11,8,20,12,9,14,3,17,10,3,6,4,14,7,11
LT0,Lietuva,Lietuva,40,29,16,11,7,19,14,10,8,10,3,4,3,10,8,3,7,6,8,19,13,20,27,19,7,5,4,7,15,0,6,8,11,0,0,13,3,0,3,0,11,19,0,6,8,3,17,22,4,0,9,16,4,7,0,18,8,0,28,24,10,22,14,3,11,6,20,36,6,0,3,10,5,3,3,0,14,14,9,14,4,8,8,9,22,19,8,12,8,18,12,0,12,6,14
DE5,Bremen,Bremen,17,7,0,0,6,16,17,14,0,8,6,0,0,11,3,3,20,0,9,6,0,8,7,0,0,12,3,0,0,0,3,0,3,14,0,0,0,5,0,0,7,0,0,3,0,0,9,15,3,0,0,7,0,4,0,10,5,0,19,3,15,0,13,0,7,3,20,25,0,0,0,0,5,0,0,0,7,12,0,0,0,0,0,7,15,11,0,11,4,8,6,0,0,3,19
FRB,Centre — Val de Loire,Centre — Val de Loire,22,13,8,8,0,24,14,26,13,19,12,6,0,18,4,5,7,12,7,11,25,13,3,7,6,10,6,7,0,0,12,0,3,13,0,16,0,8,3,6,11,3,4,7,3,0,15,20,3,10,8,0,0,11,7,7,12,0,22,0,7,4,3,4,6,0,13,21,0,9,4,0,16,6,3,6,3,11,3,15,4,4,9,3,10,4,3,9,6,6,3,3,15,6,12
FRG,Pays de la Loire,Pays de la Loire,24,8,10,10,0,22,12,16,10,14,12,6,0,12,5,6,10,6,6,12,17,11,0,7,8,8,7,7,0,0,14,0,0,13,0,16,0,5,3,6,6,3,3,7,4,0,18,21,6,11,9,0,3,7,6,4,10,0,22,0,7,6,3,4,6,0,13,19,0,9,4,0,20,14,5,4,3,10,0,10,3,5,12,0,7,3,4,4,4,6,0,5,14,6,13
UKJ,South East (England),South East (England),21,6,3,8,3,14,10,5,9,14,3,4,0,14,4,3,14,6,6,6,9,16,4,3,0,5,4,3,0,0,6,0,3,10,0,3,0,4,0,3,3,0,0,0,3,3,11,18,0,3,8,0,0,13,3,5,10,0,26,0,10,3,4,7,9,0,12,15,0,3,3,0,9,7,7,6,0,6,3,3,3,4,4,7,7,3,0,0,8,8,3,9,12,6,10
NL4,Zuid-Nederland,Zuid-Nederland,19,8,4,11,9,21,25,24,8,8,6,5,0,19,0,8,11,7,8,14,7,16,9,8,0,10,9,0,0,6,4,0,7,15,0,3,0,3,0,7,7,3,0,9,8,0,10,14,8,9,3,5,0,9,3,4,9,0,33,6,15,5,10,0,4,3,26,23,0,3,0,0,13,8,3,3,4,9,0,0,0,3,5,8,16,10,7,10,4,12,5,0,9,0,16
