NUTS_ID,NAME_LATN,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
RO2,Macroregiunea Doi,Macroregiunea Doi,11,14,25,13,9,21,23,19,7,17,8,0,11,15,6,9,19,13,23,21,18,13,12,3,13,0,9,6,7,13,23,7,9,9,0,11,4,7,6,3,9,28,0,6,7,10,3,28,19,7,7,13,6,12,13,23,7,6,28,23,7,5,10,3,3,6,21,31,10,0,5,7,10,4,0,7,7,6,6,15,8,16,21,17,16,11,8,20,9,10,18,6,11,11,9
NL1,Noord-Nederland,Noord-Nederland,22,11,3,3,12,16,22,14,7,10,3,6,0,15,7,4,20,10,7,6,0,13,8,3,0,10,8,0,0,7,7,0,9,17,0,0,0,6,0,0,6,5,0,6,4,0,17,18,8,5,0,10,0,9,0,6,9,3,34,3,17,6,19,0,6,3,29,20,0,3,0,0,10,7,0,5,7,15,4,0,3,0,0,10,15,10,13,11,4,14,6,0,3,4,18
ITC,Nord-Ovest,Nord-Ovest,24,46,18,16,8,33,62,22,20,16,11,18,10,25,3,19,10,14,23,14,36,19,5,4,3,11,12,9,7,5,30,0,8,18,3,24,4,7,3,7,10,12,13,10,8,9,14,28,16,6,10,16,5,3,11,15,12,3,27,12,8,3,4,4,16,10,29,18,11,8,16,7,19,9,9,12,10,17,8,16,11,12,29,10,24,10,7,13,8,7,3,13,12,11,6
PL6,Makroregion północny,Makroregion północny,36,21,6,8,4,24,23,13,7,9,4,3,0,14,8,8,15,11,11,20,9,17,21,16,0,8,8,11,11,0,3,7,0,9,0,12,3,4,3,3,10,21,0,11,11,0,18,24,8,0,8,20,6,5,3,17,5,3,34,24,9,19,13,0,14,3,27,36,4,0,6,8,10,0,0,0,20,19,20,11,4,9,10,8,21,11,5,6,7,17,12,0,7,3,21
UKI,London,London,19,6,0,7,0,13,6,4,7,10,0,4,0,16,4,3,5,6,0,0,4,8,4,0,0,5,4,0,0,0,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,6,0,0,11,3,5,0,0,23,0,6,0,4,4,9,0,9,8,0,3,3,0,8,6,6,6,0,5,0,0,0,4,4,7,3,0,0,0,7,8,0,8,6,3,7
HU2,Dunántúl,Dunántúl,23,20,4,8,8,27,28,28,12,3,6,0,3,13,0,3,16,8,17,27,17,16,11,9,9,7,13,12,3,11,23,4,9,15,0,5,0,0,0,0,8,41,5,0,6,9,9,19,6,0,3,18,4,0,6,16,8,8,19,7,4,0,4,3,9,6,12,30,9,3,11,3,6,6,0,3,10,23,12,7,4,14,33,6,14,7,3,11,6,16,12,0,8,4,12
ME0,Crna Gora,Црна Гора,9,14,19,11,11,15,27,23,12,9,15,3,17,9,0,5,16,4,20,21,22,9,15,7,7,4,8,10,8,7,23,11,5,5,0,7,0,9,12,6,6,23,0,9,7,15,3,23,11,5,4,20,4,0,12,22,14,7,8,18,12,4,0,8,5,20,15,21,8,5,6,7,0,7,3,10,4,10,15,17,8,9,11,14,7,8,3,15,15,12,18,3,17,6,13
PL9,Makroregion województwo mazowieckie,Makroregion województwo mazowieckie,30,17,12,9,3,26,24,12,6,9,3,3,0,14,7,3,15,15,10,19,11,17,21,17,3,8,8,11,12,0,6,7,0,6,0,9,3,0,3,0,10,22,0,6,9,0,16,22,4,0,7,23,7,7,12,18,5,3,25,24,7,11,13,0,9,4,28,36,4,0,6,4,7,0,0,0,16,11,18,7,0,14,11,8,20,9,9,13,4,10,15,0,6,3,18
FRM,Corse,Corse,16,28,7,6,0,28,13,23,16,14,8,5,10,8,0,3,9,6,13,16,20,12,4,3,3,10,8,7,6,3,21,3,9,8,0,7,0,11,6,0,13,6,4,10,14,5,0,7,7,3,14,17,6,0,5,10,13,6,16,3,4,3,3,3,8,0,10,12,5,4,3,4,3,0,0,4,4,7,3,22,4,5,12,4,10,5,3,13,3,0,0,4,10,6,4
ES3,Comunidad de Madrid,Comunidad de Madrid,16,10,6,3,4,19,13,13,9,21,3,3,3,4,0,5,7,0,3,8,18,0,3,0,0,7,0,0,0,0,4,0,6,17,0,19,6,5,0,0,5,0,0,0,4,0,18,8,3,3,3,0,0,8,7,3,4,0,21,0,0,0,5,0,6,0,6,6,0,6,0,0,8,6,10,0,3,3,0,18,0,0,3,7,10,0,3,3,3,3,3,6,0,0,6
BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,Югозападна и Южна централна България,14,13,23,7,14,25,19,30,7,12,7,0,17,13,0,7,17,5,24,22,33,9,13,12,10,4,11,8,10,10,24,9,6,9,0,7,4,3,17,6,13,46,4,12,7,17,0,15,28,9,3,23,15,4,17,19,13,8,6,25,14,4,11,10,7,21,15,20,9,3,7,11,8,8,3,14,3,17,10,22,5,23,37,19,5,4,3,18,9,13,25,3,19,5,12
BE2,Vlaams Gewest,Vlaams Gewest,23,9,4,11,8,22,24,39,8,13,7,7,0,17,4,9,7,7,7,15,7,24,8,9,0,9,8,0,0,6,7,3,7,15,0,6,0,3,0,6,6,3,3,6,8,3,11,16,7,9,5,5,0,11,3,6,12,0,30,3,15,5,4,0,3,3,24,23,0,3,0,0,12,8,3,8,0,6,0,0,7,3,5,9,15,9,4,9,6,11,5,0,11,0,11
AT3,Westösterreich,Westösterreich,25,24,6,10,7,34,35,21,10,19,14,7,14,17,3,14,13,10,19,17,14,19,8,9,6,15,15,8,0,7,11,5,12,27,0,14,6,4,4,4,11,13,16,10,11,8,7,27,8,3,11,7,7,3,11,15,13,11,23,10,7,5,6,3,11,16,20,22,8,9,14,10,15,4,3,17,11,10,13,23,16,13,26,7,12,8,3,9,8,14,5,8,15,10,10
EL3,Attiki,Αττική,6,3,17,4,8,5,14,17,13,6,0,0,9,10,0,7,5,0,13,8,8,0,12,4,3,4,9,3,0,4,12,3,3,3,0,0,0,0,5,5,3,12,0,3,0,12,0,10,4,0,0,0,4,4,6,8,3,0,0,16,6,0,0,0,0,9,5,9,3,0,0,0,0,0,0,0,3,0,6,11,0,11,5,7,4,0,0,6,6,0,10,4,14,4,3
UKH,East of England,East of England,20,7,3,7,4,13,12,4,9,16,6,4,0,14,6,3,15,6,7,6,10,14,4,4,3,5,0,0,0,0,6,0,3,11,0,0,0,3,0,0,3,0,0,0,0,0,10,11,3,3,7,0,0,13,4,5,8,0,24,0,7,3,4,9,9,0,12,12,0,3,3,0,9,8,6,6,0,6,6,0,3,4,6,4,3,3,3,0,7,8,4,5,9,3,8
DEA,Nordrhein-Westfalen,Nordrhein-Westfalen,26,10,6,11,10,26,25,41,8,15,9,5,0,18,8,5,19,7,11,16,11,16,9,9,0,11,11,0,0,3,11,6,9,21,0,8,3,4,0,6,8,8,0,7,9,3,17,19,8,9,4,8,3,8,6,9,7,3,29,7,15,0,17,3,12,3,23,24,0,4,3,0,15,3,3,3,4,15,4,0,3,3,6,13,22,10,0,11,9,10,6,4,10,7,22
UKD,North West (England),North West (England),21,10,3,6,5,12,12,5,10,13,0,8,0,14,11,6,10,3,4,6,7,12,8,6,3,0,4,0,0,0,3,0,8,8,0,6,0,4,0,0,3,3,0,3,0,0,8,13,0,0,7,3,3,17,3,7,0,0,23,0,14,6,3,4,4,0,10,10,3,7,0,3,5,11,3,7,0,7,0,0,6,7,4,6,10,3,0,0,6,3,3,5,8,11,7
EE0,Eesti,Eesti,45,30,20,7,8,33,9,15,20,15,6,0,4,4,7,4,7,8,12,18,11,20,35,21,5,3,7,5,19,0,4,0,12,3,3,4,0,8,0,6,11,19,0,3,17,3,15,8,4,0,9,12,5,0,5,17,10,0,26,11,12,11,10,0,17,4,10,36,0,0,4,6,8,6,4,4,6,15,3,7,3,3,3,4,25,22,8,6,7,3,7,0,9,11,5
DE7,Hessen,Hessen,26,18,5,8,10,27,22,41,12,13,17,5,0,18,8,4,13,9,9,21,13,19,10,7,0,13,19,3,0,0,13,3,10,28,0,7,3,4,0,6,8,10,3,6,10,6,17,21,7,4,8,5,3,7,3,12,7,4,21,8,11,3,13,4,12,4,21,22,7,6,0,0,16,0,0,3,4,16,4,4,5,8,15,7,21,8,3,9,9,16,5,3,10,5,22
PL2,Makroregion południowy,Makroregion południowy,23,17,4,7,7,27,27,21,6,10,3,3,6,20,0,3,16,13,11,17,14,10,11,13,8,6,6,0,10,3,16,0,10,12,0,7,3,0,0,0,11,18,3,8,8,4,17,22,6,0,10,21,4,6,9,18,5,0,19,12,5,3,12,3,6,5,21,29,7,0,12,4,6,3,0,0,10,11,11,7,5,13,25,10,17,11,8,12,7,11,13,0,10,5,24
MT0,Malta,Malta,5,13,0,3,0,0,0,10,0,0,0,3,7,0,0,0,0,3,6,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI1,Manner-Suomi,Manner-Suomi,31,35,13,12,13,27,8,15,29,12,7,6,5,6,8,6,11,6,6,15,11,22,37,15,5,3,11,14,16,3,7,7,15,8,9,6,7,13,6,7,11,8,3,6,12,5,17,8,7,5,10,13,5,4,4,14,11,4,21,7,12,18,8,3,12,3,4,22,5,3,3,9,9,9,3,5,3,15,4,6,3,4,3,5,20,18,9,10,11,4,12,4,12,15,12
DE6,Hamburg,Hamburg,20,12,0,4,6,16,18,15,6,11,0,0,0,10,0,3,17,3,11,9,0,6,9,0,0,12,9,0,0,4,3,0,6,14,0,0,3,0,0,3,5,0,0,7,0,0,15,18,3,3,0,8,0,4,0,9,5,0,29,3,8,3,18,3,10,3,19,20,3,0,0,4,7,0,0,0,10,7,9,0,3,0,0,12,15,10,3,8,4,13,5,0,0,0,15
LU0,Luxembourg,Luxembourg,27,15,4,7,8,21,14,24,8,16,8,4,0,14,4,4,10,7,8,10,5,18,6,10,0,12,13,0,0,0,7,4,3,20,0,6,0,0,0,9,6,3,3,0,9,0,11,14,6,6,6,8,3,4,3,12,7,0,24,0,7,3,0,3,4,0,16,21,0,4,4,0,13,0,0,0,0,5,3,0,6,0,3,4,11,6,4,4,8,9,4,0,6,7,13
RO1,Macroregiunea Unu,Macroregiunea Unu,11,14,19,9,17,25,19,25,7,13,10,0,17,12,5,6,19,9,28,25,31,16,15,8,13,6,11,7,5,13,22,8,10,19,0,13,5,3,6,9,6,34,4,23,8,15,8,32,27,7,3,26,8,7,16,30,15,15,11,21,7,8,8,6,6,15,15,31,9,0,5,9,7,7,3,12,4,9,7,23,7,14,25,14,15,8,6,19,16,12,20,6,12,7,10
EL6,Kentriki Elláda,Κεντρική Ελλάδα,10,14,25,7,12,26,22,29,13,12,5,4,17,10,3,12,14,6,17,16,17,6,15,6,11,3,8,8,9,6,21,6,9,4,0,7,4,3,8,6,10,33,6,10,14,18,0,17,14,0,3,14,11,7,8,20,6,7,4,21,7,7,3,8,3,24,9,12,7,0,5,11,3,7,11,4,7,6,14,20,8,22,17,16,5,3,5,15,14,4,15,8,19,6,6
EL5,Voreia Elláda,Βόρεια Ελλάδα,12,10,23,10,11,26,26,33,11,14,6,3,20,13,0,7,15,7,23,18,22,7,14,7,9,8,10,5,12,9,24,9,13,6,0,3,0,5,13,7,9,21,10,9,13,20,0,13,27,5,3,19,12,6,11,19,6,10,7,20,5,9,4,9,5,11,9,21,4,0,6,12,3,8,4,7,6,9,13,19,7,21,31,16,8,6,4,12,15,3,18,4,17,6,10
DEE,Sachsen-Anhalt,Sachsen-Anhalt,21,12,3,3,8,26,27,19,3,3,8,0,0,20,0,4,22,5,15,19,6,11,11,9,0,14,9,0,0,3,4,0,8,24,0,0,3,3,0,3,7,10,0,7,7,3,21,19,3,0,3,7,0,7,0,10,7,0,24,8,11,3,18,3,12,4,24,29,7,0,5,8,11,3,0,0,12,13,9,0,0,4,20,7,24,12,3,9,7,13,6,0,4,6,24
FI2,Åland,Åland,22,31,3,3,3,9,0,4,23,7,3,0,0,0,7,0,9,0,3,9,3,18,32,15,0,0,0,7,11,3,0,3,10,3,3,0,0,4,0,0,10,0,0,0,11,0,17,6,3,0,8,3,4,3,0,7,11,0,20,0,11,18,3,0,6,0,0,25,0,0,0,3,0,0,0,5,0,14,3,0,0,0,0,0,13,0,9,4,0,0,4,0,6,9,4
DK0,Danmark,Danmark,24,20,3,3,9,14,16,11,12,13,11,0,0,17,4,4,11,6,14,12,5,14,24,6,0,13,6,0,6,3,3,3,11,20,0,0,0,0,0,3,9,9,3,3,5,3,18,21,3,3,11,4,4,6,4,8,9,0,22,4,7,16,17,0,17,3,14,20,6,3,4,14,5,3,0,0,8,7,4,0,3,3,3,6,19,13,4,9,9,9,6,4,3,7,12
PL8,Makroregion wschodni,Makroregion wschodni,36,18,12,8,3,23,31,19,9,10,0,0,4,19,6,3,14,14,12,19,14,18,19,17,10,8,8,9,11,0,14,7,4,8,0,13,4,0,4,0,10,23,0,7,11,4,17,30,7,3,8,23,8,7,12,22,4,3,26,24,8,15,11,0,7,5,27,35,3,0,9,6,6,0,0,0,14,7,12,13,9,15,23,8,20,12,9,15,7,9,17,0,7,4,20
RO4,Macroregiunea Patru,Macroregiunea Patru,12,11,26,11,19,29,21,29,7,10,10,0,16,11,3,4,21,9,22,27,30,14,15,7,14,4,7,4,5,13,26,7,9,11,3,11,3,4,6,7,16,41,7,19,6,15,6,22,33,9,6,20,7,4,12,31,10,20,16,20,8,10,10,7,4,17,15,24,11,0,9,9,8,4,3,10,3,11,8,23,9,15,28,14,12,7,6,20,14,11,25,6,13,5,8
ITG,Isole,Isole,11,25,8,9,4,23,14,25,14,11,10,4,14,7,0,6,12,11,22,19,20,9,7,7,4,4,7,4,0,6,19,3,12,4,0,6,0,9,3,4,6,8,7,8,8,8,0,3,4,0,11,14,6,0,6,7,15,0,7,18,4,0,0,6,3,3,11,11,3,5,6,5,3,6,5,3,6,10,3,22,7,8,4,12,9,4,6,10,8,3,3,0,10,7,6
BG3,Severna i Yugoiztochna Bulgaria,Северна и Югоизточна България,16,9,16,10,13,27,19,28,5,11,4,3,15,14,5,8,17,7,28,20,15,14,14,3,11,3,12,5,13,13,25,11,9,15,4,5,4,10,11,3,14,45,5,6,9,14,0,13,32,8,3,14,12,12,14,23,7,3,18,24,8,3,7,8,4,15,16,23,14,0,7,10,9,8,3,7,0,10,7,9,4,20,32,15,7,7,0,16,10,3,17,3,13,12,11
ES2,Noreste,Noreste,20,17,11,4,6,27,15,27,13,25,7,6,4,4,3,12,8,9,13,17,33,12,4,0,6,11,6,10,0,4,21,3,10,18,0,22,6,14,4,8,3,0,10,8,11,0,22,17,8,0,12,15,6,10,8,10,7,0,22,3,3,0,9,3,11,6,7,8,4,6,4,5,12,13,10,4,6,11,3,23,11,8,8,10,12,6,7,6,8,7,6,14,6,3,7
FRK,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,23,24,14,13,4,29,32,38,15,26,14,8,3,18,6,22,15,12,15,17,37,22,6,4,3,15,8,9,6,4,12,0,13,23,3,18,0,10,5,6,7,14,9,11,20,9,15,29,10,9,16,11,10,6,8,9,14,3,25,11,8,5,6,3,13,7,15,18,6,12,17,4,16,9,6,5,6,15,7,21,15,12,19,6,13,7,3,14,14,6,5,9,17,11,6
UKE,Yorkshire and the Humber,Yorkshire and the Humber,26,8,4,9,8,11,12,3,9,14,3,7,0,12,11,3,17,0,7,4,3,15,6,3,3,0,4,0,4,0,4,3,9,13,3,0,0,0,0,0,0,3,0,3,0,0,9,12,0,0,7,0,3,15,4,7,3,0,22,0,10,4,3,9,4,0,7,11,0,4,0,3,4,11,3,7,0,7,3,0,4,7,6,6,3,0,0,0,7,3,3,5,7,10,5
NL3,West-Nederland,West-Nederland,22,8,3,9,9,18,26,23,9,9,6,6,0,16,4,8,15,6,7,10,5,18,7,8,0,10,7,0,0,7,7,3,7,16,0,3,0,5,0,3,6,5,0,6,4,0,17,15,8,8,3,9,0,10,4,4,12,3,36,3,17,6,16,0,6,3,27,18,0,3,0,0,13,9,3,5,4,15,5,4,7,0,5,11,23,13,12,13,4,15,8,5,10,3,17
ES1,Noroeste,Noroeste,12,9,5,0,8,23,8,13,9,19,3,4,4,7,3,5,6,3,3,10,22,7,0,4,3,6,5,7,0,5,10,3,7,8,0,20,4,8,0,4,0,0,3,4,9,0,18,14,4,0,5,3,3,8,8,3,4,0,18,0,3,0,7,6,7,0,3,8,0,4,4,0,3,8,8,3,0,7,3,10,0,0,5,5,12,6,3,0,5,8,3,10,3,0,3
IE0,Ireland,Ireland,16,7,3,12,6,7,8,4,10,18,3,8,0,11,9,4,7,6,6,3,7,15,7,3,3,5,3,3,3,0,6,3,4,7,0,15,3,7,3,0,3,5,0,3,0,0,10,10,0,3,7,0,4,14,5,11,0,0,17,3,13,11,8,10,9,0,8,8,6,4,0,3,12,11,6,3,0,10,0,6,3,11,4,7,4,5,0,0,0,12,0,6,9,5,7
UKM,Scotland,Scotland,25,9,8,16,10,8,11,3,13,15,6,8,3,20,8,3,10,3,7,4,3,14,13,6,7,5,4,3,0,0,8,3,10,11,0,8,0,8,4,0,5,4,3,6,0,0,16,13,5,3,11,7,4,16,6,9,4,0,20,5,10,9,6,7,7,4,6,6,5,10,3,6,6,18,3,3,0,11,0,0,4,9,7,7,6,7,4,0,0,7,6,8,10,12,12
UKF,East Midlands (England),East Midlands (England),24,8,0,6,8,9,12,5,9,16,3,5,0,13,9,3,12,4,6,6,6,16,4,4,0,0,0,0,0,0,4,0,9,12,0,5,0,3,0,0,3,3,0,0,0,0,9,14,0,0,7,0,0,15,4,5,3,0,24,0,7,4,4,9,8,0,10,11,0,7,0,0,8,8,6,7,0,7,3,0,3,6,6,9,7,3,0,0,8,3,0,5,7,10,6
PL7,Makroregion centralny,Makroregion centralny,31,13,3,8,3,24,27,14,6,7,3,3,0,16,3,3,19,14,12,15,13,9,20,17,8,7,8,7,11,0,9,3,5,10,0,8,0,0,4,0,11,21,0,6,7,0,13,24,4,0,6,22,7,7,7,18,5,3,25,14,5,4,12,0,8,3,19,37,6,0,11,4,8,0,0,0,10,11,16,9,3,14,25,7,16,10,8,9,6,10,17,3,7,0,20
DEF,Schleswig-Holstein,Schleswig-Holstein,23,16,0,0,9,16,20,17,7,11,8,0,0,13,3,3,20,5,11,10,3,16,15,4,0,14,6,0,3,4,7,0,8,14,0,0,3,0,0,4,11,8,0,7,0,0,18,20,3,3,8,10,0,8,3,10,6,0,29,6,13,7,14,4,16,4,18,27,4,3,0,7,10,0,0,3,13,7,9,0,3,5,0,7,14,12,9,9,8,13,6,3,0,7,15
DE9,Niedersachsen,Niedersachsen,23,11,6,3,10,27,25,18,7,11,6,5,0,16,8,4,23,5,15,17,5,12,11,8,0,14,12,0,3,8,4,0,10,26,0,0,3,5,0,3,8,9,0,7,8,3,19,19,8,5,3,11,0,6,0,11,6,3,29,8,15,5,19,3,13,4,26,27,6,6,0,4,14,3,3,3,9,14,6,0,4,4,10,13,22,12,5,12,6,14,6,5,6,5,25
FRE,Hauts-de-France,Hauts-de-France,24,12,8,11,7,23,17,23,8,17,17,6,0,16,5,9,9,6,5,11,14,23,6,6,0,11,9,0,0,4,10,3,3,16,0,10,0,5,0,9,10,6,3,6,8,0,14,21,7,10,8,5,0,12,8,10,12,0,28,6,15,6,4,4,3,0,23,23,0,4,0,0,15,6,6,7,4,6,3,3,4,4,10,9,14,11,8,8,7,7,7,0,16,10,11
RS1,Serbia - sever,Србија - север,11,17,15,9,10,22,16,28,7,7,0,0,10,9,0,3,12,3,14,28,26,15,11,7,9,4,7,4,0,9,28,11,9,12,0,7,0,0,3,4,9,27,8,3,3,11,4,18,16,3,0,13,7,0,9,22,8,12,12,16,7,8,3,5,3,8,15,23,10,0,0,0,6,0,0,0,0,11,12,19,5,13,31,9,9,6,3,11,12,9,13,0,8,5,4
