NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
South West (England),UKK,South West (England),0,7,7,3,7,3,8,3,3,6,14,0,9,7,7,13,3,10,6,0,13,13,20,11,4,10,5,7,11,10,0,8,7,3,24,14,4,9,9,0,3,42,14,3,7,15,7,30,0,6,0,10,9,6,0,6,67,0,29,11,0,4,4,0,29,8,0,5,7,15,3,4,20,13,21,3,32,6,6,12,19,15,7,0,7,14,24,3,0,4,8,0,6,12,13
Südösterreich,AT2,Südösterreich,11,12,8,4,6,21,3,3,13,11,14,14,8,10,15,8,6,18,20,8,26,8,10,12,12,23,8,40,33,37,9,11,14,33,12,25,8,12,25,11,20,29,34,17,13,24,7,27,11,12,20,12,15,17,7,18,9,15,9,12,12,12,23,10,22,20,19,18,0,13,13,8,20,50,39,9,17,5,17,13,10,5,21,10,14,32,13,6,9,12,27,10,8,6,34
Baden-Württemberg,DE1,Baden-Württemberg,4,13,6,11,0,9,0,0,8,9,12,11,8,8,17,11,0,12,7,6,29,7,4,6,3,17,10,21,20,23,7,6,18,24,20,34,9,7,6,6,8,16,6,3,10,13,3,29,5,5,6,10,8,8,3,12,22,3,5,11,10,4,8,3,34,8,4,12,0,18,11,4,25,44,34,3,13,5,14,14,18,3,7,11,3,32,19,4,0,3,22,6,7,11,20
Bourgogne-Franche-Comté,FRC,Bourgogne-Franche-Comté,4,14,13,14,0,10,3,0,9,15,22,7,9,12,21,11,0,15,28,6,28,12,8,10,3,21,12,19,14,25,10,8,15,20,25,23,6,6,4,3,3,17,11,3,14,16,7,39,9,7,3,10,7,15,0,13,30,0,14,14,11,3,7,6,38,12,3,7,0,18,13,7,24,42,41,3,17,4,10,9,15,8,10,13,3,28,23,6,3,11,28,7,8,14,20
Norra Sverige,SE3,Norra Sverige,37,25,12,11,11,11,9,18,3,18,35,37,27,17,14,22,17,15,36,26,22,22,38,19,7,25,15,14,34,27,30,30,29,38,16,24,30,19,20,43,32,35,39,32,23,53,48,32,21,27,22,29,29,53,42,29,29,23,24,11,16,20,26,25,37,15,34,26,20,49,35,22,30,28,38,14,33,35,22,27,49,6,43,28,10,25,22,40,32,25,32,23,16,19,17
Latvija,LV0,Latvija,0,12,3,7,13,4,0,0,0,13,10,4,10,9,15,4,16,15,19,4,7,10,7,0,11,11,11,3,48,9,19,13,5,7,11,23,27,16,53,25,23,17,41,11,8,43,39,4,8,3,10,9,23,21,58,21,26,22,8,3,6,10,17,65,23,23,26,10,6,13,55,11,10,18,60,10,17,5,6,14,33,3,52,24,0,65,3,42,3,8,33,9,4,3,11
Liechtenstein,LI0,Liechtenstein,4,3,6,6,0,8,0,0,4,7,16,3,0,3,11,6,0,13,6,4,25,5,0,7,0,17,4,15,8,21,7,0,16,25,16,21,3,6,0,4,5,13,11,0,4,4,0,21,4,0,7,4,3,6,0,7,9,0,0,10,7,0,3,6,26,11,4,3,0,11,6,3,10,40,33,0,9,0,14,3,4,0,3,3,0,28,15,3,0,3,18,3,3,7,12
Centro (ES),ES4,Centro (ES),22,13,24,17,13,13,7,22,11,11,27,16,17,12,29,14,14,7,27,12,19,17,23,22,38,46,25,23,29,20,16,18,18,33,21,11,13,15,16,31,16,28,39,10,19,13,35,29,18,27,25,35,21,19,13,23,11,16,18,27,21,16,14,29,21,23,31,18,12,17,30,18,31,38,21,14,29,6,27,12,13,21,14,35,9,9,20,19,12,13,28,15,21,17,21
Saarland,DEC,Saarland,0,17,3,3,0,3,3,0,3,10,6,9,10,4,8,14,0,13,11,3,19,4,3,9,3,13,5,12,10,19,0,4,15,14,20,20,0,7,7,3,3,24,5,0,12,11,0,23,3,6,0,12,4,5,0,6,22,0,0,4,3,3,3,3,30,3,3,11,0,17,8,3,18,33,29,0,3,3,8,9,16,0,8,6,0,27,20,3,0,3,14,7,4,10,16
Nord-Est,ITH,Nord-Est,19,22,15,14,12,18,8,7,32,12,24,24,16,21,28,14,5,27,38,14,30,11,8,12,17,52,20,47,56,49,13,22,30,40,18,34,10,19,48,41,32,31,40,28,13,42,11,34,9,25,25,29,18,20,11,29,25,20,7,21,18,16,28,14,38,42,20,25,3,22,40,7,24,59,50,10,27,9,28,4,21,16,22,17,23,32,23,11,13,12,31,15,10,19,49
