NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
North East (England),UKC,North East (England),3,3,3,8,4,4,7,12,0,3,16,8,3,8,3,0,8,3,3,3,4,3,9,11,0,4,0,0,7,3,13,3,5,5,8,4,7,7,3,3,7,9,22,17,10,12,8,15,0,9,0,6,9,3,10,6,13,6,24,13,3,6,6,8,11,11,6,15,11,15,8,8,3,15,17,6,3,23,7,19,14,16,7,16,9,3,13,14,17,10,30,21,22,14,19
Este,ES5,Este,6,11,12,12,3,14,34,5,13,20,26,13,19,12,18,26,29,15,28,25,4,12,23,27,26,20,12,54,36,16,30,15,40,65,46,13,48,34,41,16,41,45,35,19,34,26,35,42,30,65,37,22,51,37,35,27,37,62,26,49,23,25,53,54,23,50,25,34,50,51,55,46,45,47,59,66,52,69,66,64,78,52,60,48,56,54,68,45,58,55,68,50,53,46,40
Sur,ES6,Sur,6,14,19,19,6,11,33,16,15,19,18,14,16,15,14,32,16,18,12,19,11,9,19,13,24,13,11,34,24,10,19,18,36,35,40,21,33,17,38,21,36,39,26,26,31,17,28,32,31,56,35,20,44,36,21,30,29,51,27,34,23,23,42,47,37,45,34,45,37,50,55,52,39,39,43,56,54,44,51,57,67,36,41,39,41,46,49,31,47,45,63,36,46,43,28
Grand Est,FRF,Grand Est,7,6,6,0,0,16,10,10,0,15,25,4,3,6,5,6,24,8,8,13,3,4,14,29,7,6,6,14,13,8,9,5,18,18,3,16,20,21,8,3,10,27,32,20,8,20,11,15,4,30,13,12,6,19,37,13,40,39,36,32,4,13,21,30,10,15,8,22,24,36,13,17,4,13,14,11,6,50,14,34,58,10,21,32,13,17,45,33,38,20,41,29,24,35,19
Makroregion północno-zachodni,PL4,Makroregion północno-zachodni,8,10,6,5,3,15,6,11,12,8,18,4,0,4,7,0,10,21,6,15,9,6,18,12,11,19,12,5,3,8,11,6,12,19,0,61,22,16,11,22,5,21,50,17,37,13,12,23,10,6,11,19,23,17,30,15,64,40,42,9,10,55,5,49,16,69,18,27,31,7,11,17,15,43,32,3,48,55,58,42,83,41,38,77,44,23,22,27,56,35,50,73,66,55,54
Oost-Nederland,NL2,Oost-Nederland,4,0,3,0,0,14,6,18,4,6,19,3,0,9,0,0,14,4,3,20,4,3,15,19,6,10,0,4,0,4,6,4,11,5,4,8,15,12,4,6,3,16,24,25,4,14,10,5,0,11,6,14,8,6,23,10,31,26,35,23,3,11,10,18,11,9,4,15,11,13,4,6,3,7,15,10,6,41,7,18,35,7,13,21,6,3,23,12,20,8,22,21,25,15,22
Centro (IT),ITI,Centro (IT),11,9,8,6,0,33,28,8,15,22,23,9,19,14,11,26,25,14,20,35,15,24,19,30,28,13,12,18,26,11,26,21,39,52,35,26,37,26,45,23,36,61,34,17,44,27,30,23,26,56,31,19,46,38,60,38,63,61,37,30,23,26,20,48,7,43,10,22,39,31,39,54,15,26,44,62,18,50,49,61,73,29,70,58,45,43,61,53,45,37,65,48,51,80,48
Lietuva,LT0,Lietuva,13,7,0,8,12,7,8,4,6,12,15,0,3,8,5,0,6,22,11,13,6,3,18,8,9,15,3,3,0,3,15,9,8,12,5,32,17,8,8,9,4,12,24,18,15,6,7,8,6,3,7,13,10,27,22,14,34,13,40,6,15,30,4,4,8,14,4,3,19,0,17,3,7,28,15,0,3,11,24,14,23,16,8,31,8,4,8,7,8,20,21,26,34,12,20
Bremen,DE5,Bremen,4,0,0,0,0,7,0,6,0,3,10,0,0,3,0,0,4,0,0,15,0,0,6,7,0,7,0,0,3,0,3,4,4,3,0,7,9,3,0,3,6,4,9,18,3,3,4,8,0,4,0,4,4,3,12,6,27,19,32,16,3,9,10,6,6,8,0,3,5,3,4,0,3,8,13,0,0,28,7,10,25,0,5,15,3,0,17,3,14,8,9,13,26,4,8
Centre — Val de Loire,FRB,Centre — Val de Loire,0,7,7,10,0,12,11,11,0,18,22,0,15,6,14,3,32,7,8,3,0,4,13,31,3,12,6,10,10,11,7,0,14,13,9,17,21,21,7,3,8,21,22,11,10,18,16,16,0,36,8,12,13,10,26,10,29,34,23,33,4,10,27,39,13,20,11,31,23,47,13,17,5,9,18,20,10,48,8,38,53,3,19,26,8,17,54,14,44,19,55,30,24,26,15
