NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
South West (England),UKK,South West (England),20,0,17,12,28,0,7,13,8,7,15,7,12,7,4,9,4,9,0,0,8,18,8,7,4,3,9,7,0,0,6,0,0,4,8,0,0,7,13,8,9,4,0,8,3,3,10,3,3,0,0,9,3,0,9,3,5,0,4,0,3,0,0,3,0,0,3,0,3,4,4,7,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0
Südösterreich,AT2,Südösterreich,21,15,15,38,26,14,7,10,4,8,17,7,12,6,5,11,3,12,7,6,15,16,12,10,9,19,3,9,0,9,7,5,3,3,9,6,3,7,13,11,10,8,3,3,10,0,7,7,7,6,0,12,9,17,6,0,11,3,8,3,0,4,0,9,9,9,11,6,10,10,4,10,16,3,0,3,9,6,3,10,3,0,0,0,3,0,18,4,5,8,8,12,4,3,0
Baden-Württemberg,DE1,Baden-Württemberg,19,14,22,25,8,12,15,12,5,8,33,6,8,7,3,9,3,8,7,7,13,33,12,12,6,18,7,6,0,7,3,20,0,5,13,6,0,10,20,5,19,14,0,12,7,12,6,0,8,10,0,19,3,3,13,3,15,0,14,0,0,9,0,5,4,3,0,4,10,10,11,11,13,0,4,4,0,4,0,18,0,0,0,0,4,0,0,4,0,9,7,4,4,0,0
Bourgogne-Franche-Comté,FRC,Bourgogne-Franche-Comté,19,3,18,26,19,11,12,9,9,6,22,4,10,5,3,8,3,6,3,0,12,30,10,9,3,16,8,8,0,4,3,7,0,3,8,10,5,12,17,4,14,13,0,11,10,11,6,0,4,8,0,21,6,4,15,4,5,0,13,0,0,4,3,4,4,3,0,5,6,14,13,9,9,0,5,7,0,4,0,18,3,0,0,0,0,0,4,0,0,3,6,3,5,0,0
Norra Sverige,SE3,Norra Sverige,8,14,8,11,29,4,5,11,11,11,23,16,6,5,9,12,15,9,12,7,3,10,26,10,10,11,7,7,3,4,3,3,13,3,9,3,8,7,7,19,17,16,5,14,10,8,5,3,4,9,6,7,12,7,9,7,4,0,3,3,0,8,6,4,9,6,17,8,15,5,5,3,7,11,3,5,4,4,4,3,4,5,3,4,0,4,3,5,3,3,8,3,4,3,9
Latvija,LV0,Latvija,10,29,12,26,20,15,3,15,9,18,22,7,6,8,11,27,4,12,22,8,10,11,13,4,5,0,6,18,0,3,6,0,0,0,8,8,8,0,30,12,16,9,8,7,11,4,3,0,0,12,6,16,18,32,12,0,3,0,0,4,0,4,3,7,3,9,14,6,11,10,5,7,4,7,7,0,3,4,4,3,3,14,0,0,3,0,5,3,0,4,11,9,3,5,8
Liechtenstein,LI0,Liechtenstein,7,0,11,14,0,10,3,7,4,0,0,0,11,0,0,3,0,0,3,0,8,5,3,9,0,0,0,3,0,3,4,0,0,0,0,3,0,0,3,0,7,8,0,0,0,0,3,0,0,5,0,9,3,3,3,0,0,0,12,0,0,0,0,9,0,0,0,0,0,0,4,6,5,0,3,0,0,0,0,13,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0
Centro (ES),ES4,Centro (ES),15,0,31,9,20,5,8,15,15,10,22,3,10,5,9,8,4,13,6,5,7,9,8,7,10,7,8,0,0,7,7,10,3,0,10,4,13,9,10,6,3,9,4,4,5,11,4,0,3,0,0,6,13,5,9,4,5,3,26,8,0,0,3,3,4,4,4,5,3,3,7,4,4,0,4,0,0,0,0,14,3,0,3,0,0,4,5,5,3,6,10,0,3,0,4
Saarland,DEC,Saarland,19,7,18,19,12,3,4,0,4,4,18,4,4,3,3,6,0,6,3,3,12,32,6,6,5,14,6,0,0,3,0,4,0,0,10,0,0,7,17,5,21,11,0,0,5,7,0,0,6,8,0,14,0,0,3,3,12,0,6,0,0,8,0,5,0,0,0,0,3,10,7,8,10,0,0,4,0,0,0,15,0,3,0,0,0,0,0,0,0,7,4,4,3,0,0
Nord-Est,ITH,Nord-Est,18,7,19,42,34,11,14,17,15,13,22,12,18,16,11,10,4,16,26,3,11,36,28,12,9,15,7,11,3,7,6,8,4,6,7,4,3,4,13,7,25,7,5,16,12,8,8,6,9,5,3,13,8,24,17,0,13,3,10,4,0,8,5,8,7,9,12,6,15,13,14,11,15,8,6,8,4,8,5,18,3,0,0,0,3,0,8,7,8,10,12,24,8,4,0
