NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098
South West (England),UKK,South West (England),13.2631578947368,19.9605263157895,26.0131578947368,17.1052631578947,14.5263157894737,10.6776315789474,23.2697368421053,40.3421052631579,14.1776315789474,54.6118421052632,22.5986842105263,11.6644736842105,22.7894736842105,19,27.5657894736842,24.0131578947368,27.8026315789474,48.375,22.9078947368421,27.3947368421053,18.0328947368421,15.8486842105263,8.08552631578947,38.5328947368421,12.3157894736842,17.7828947368421,22.4539473684211,11.0657894736842,8.33557046979866,23.7236842105263,10.5328947368421,17.4736842105263,38.2828947368421,23.0328947368421,11.9473684210526,9.06578947368421,15.9539473684211,26.6842105263158,25.5855263157895,13.1842105263158,25.9210526315789,36.7302631578947,27.8157894736842,45.6710526315789,19.3486842105263,26.8947368421053,17.3157894736842,42.1973684210526,3.51315789473684,32.8881578947368,29.8815789473684,26.6973684210526,11.6776315789474,34.7763157894737,18.2434210526316,19.5986842105263,27.1710526315789,34.0131578947368,20.5526315789474,43.6776315789474,23.7105263157895,6.38815789473684,28.7302631578947,35.1184210526316,17.6381578947368,49.4671052631579,9.33552631578947,50.9407894736842,44.5263157894737,37.7697368421053,7.36842105263158,18.7434210526316,22.7236842105263,33.8157894736842,19.9605263157895,10.7960526315789,26.8355263157895,89.625,15.0394736842105,46.5328947368421,41.3947368421053,22.9736842105263,57.7368421052632,23.9013157894737,21.328947368421,22.4802631578947,39.8815789473684,35.2828947368421,57.5460526315789,11.7171052631579,41.0789473684211,38.7105263157895,33.0986842105263
Südösterreich,AT2,Südösterreich,26.7628865979381,34.8711340206186,17.6340206185567,18.2938144329897,12.6752577319588,32.3865979381443,37.5773195876289,7.21243523316062,18.1185567010309,17.2113402061856,11.5721649484536,7.06770833333333,17.7680412371134,12.5824742268041,11.5287958115183,10.6839378238342,28.4896907216495,11.6855670103093,19.4278350515464,17.4896907216495,16.3144329896907,26.2010309278351,13.3453608247423,32.6340206185567,22.3041237113402,24.6288659793814,19.3505154639175,11.6443298969072,13.3556701030928,6.43229166666667,17.979381443299,8.46113989637306,25.4536082474227,43.5309278350516,23.0463917525773,31.1546391752577,26.8144329896907,19.8814432989691,10.7680412371134,26.5773195876289,27.9329896907216,35.180412371134,31.2783505154639,21.9278350515464,45.3041237113402,11.7938144329897,26.9072164948454,21.9536082474227,18.4484536082474,60.0515463917526,20.8298969072165,9.53092783505155,28.3659793814433,27.5979381443299,30.9690721649485,15.0309278350515,22.6649484536082,42.1082474226804,19.7938144329897,30.2268041237113,37.6546391752577,40.5309278350516,10.3453608247423,41.7268041237113,13.3350515463918,32.9639175257732,9.55670103092784,13.4020618556701,7.60309278350515,24.9123711340206,16.6134020618557,26.3969072164948,14.0618556701031,16.6134020618557,18.7268041237113,15.8865979381443,19.2216494845361,30.4020618556701,48.298969072165,62.6701030927835,48.5618556701031,32.4587628865979,8.37628865979382,20.139175257732,25.2989690721649,39.7268041237113,36.4175257731959,29.6134020618557,35.1701030927835,28.4690721649485,32.7577319587629,43.8505154639175,18.9948453608247
Baden-Württemberg,DE1,Baden-Württemberg,19.5971223021583,28.2446043165468,36.5935251798561,15.5755395683453,14.5359712230216,35.7517985611511,27.863309352518,19.9748201438849,10.4892086330935,30.7374100719424,48.7913669064748,9.04676258992806,26.7302158273381,18.226618705036,13.5503597122302,13.341726618705,34.2553956834532,25.2553956834532,25.410071942446,28.6330935251799,14.4964028776978,11.5431654676259,28.5323741007194,31.841726618705,25.3021582733813,22,26.2589928057554,10.6043165467626,12.4208633093525,9.06474820143885,17.3992805755396,3.23255813953488,46.7913669064748,31.068345323741,15.9784172661871,10.7230215827338,38.5935251798561,14.6618705035971,17.4028776978417,26.8597122302158,21.2805755395683,47.6223021582734,43.0035971223022,30.9532374100719,47.7625899280576,27.8956834532374,8.43884892086331,63.9712230215827,14.4532374100719,56.3525179856115,11.7446043165468,17.3920863309353,34.2086330935252,24.5755395683453,44.1294964028777,16.4856115107914,31.4748201438849,33,20.7410071942446,44.1438848920863,18.7805755395683,9.29856115107914,41.7697841726619,46.9820143884892,6.40579710144928,31.3705035971223,6.14909090909091,37.8597122302158,11.3956834532374,44.7769784172662,22.2697841726619,14.8848920863309,30.3057553956835,18.4856115107914,23.7194244604317,9.97111913357401,13.5251798561151,64.3021582733813,58.8920863309353,63.4604316546763,63.8597122302158,21.7446043165468,26.0467625899281,22.5719424460432,17.658273381295,54.4928057553957,37.0575539568345,24.3741007194245,51.1438848920863,33.3848920863309,34.089928057554,40.2410071942446,40.5647482014389
Bourgogne-Franche-Comté,FRC,Bourgogne-Franche-Comté,24.6897506925208,28.4986149584488,47.3518005540166,18.0360110803324,16.8448753462604,25.0609418282548,26,11.6426592797784,15.6675900277008,50.185595567867,45.2271468144044,13.0581717451524,47.1412742382272,20.0415512465374,16.0221606648199,26.2853185595568,33.3213296398892,39.4709141274238,25.0304709141274,17.4321329639889,14.7174515235457,19.1080332409972,18,31.1883656509695,18.9335180055402,16.4459833795014,23.2216066481994,21.5207756232687,14.4127423822715,10.7063711911357,20.8587257617729,9.02770083102493,41.016620498615,33.4930747922438,10.8559556786704,20.5069252077562,43.5678670360111,23.8891966759003,19.6426592797784,33.6371191135734,41.8864265927978,56.2714681440443,51.8781163434903,26.2548476454294,65.2520775623269,40.2382271468144,22.6149584487535,76.1551246537396,5.25633802816901,58.6149584487535,23.8448753462604,20.7285318559557,40.3407202216066,25.797783933518,47.1218836565097,18.9861495844875,28.6814404432133,26.3739612188366,15.2243767313019,48.4349030470914,28.2991689750693,9.46260387811634,39.3240997229917,43.6204986149585,5.03047091412742,44.5484764542936,8.90581717451524,55.2880886426593,17.1689750692521,49.5983379501385,31.7257617728532,23.0360110803324,27.2437673130194,20.0969529085873,16.3213296398892,21.8559556786704,15.3711911357341,50.3545706371191,62.9307479224377,70.8614958448753,65.196675900277,32.9141274238227,24.409972299169,26.0692520775623,16.6343490304709,47.5927977839335,61.2493074792244,31.8587257617729,71.4598337950139,53.9252077562327,56.1551246537396,55.6869806094183,46.7728531855956
Norra Sverige,SE3,Norra Sverige,16.946851530907,12.2292570106967,9.00597728631201,7.37864357864358,12.1285755561976,12.0184491207841,13.404181184669,20.0941586748038,13.0869817338359,8.37268518518519,15.5075466114235,14.3591000865301,11.3920471281296,14.7076788830716,13.2256275539988,12.4373018160853,15.8930527529547,6.28726614363307,20.2282986111111,15.2034644744568,7.50350877192982,10.2022112307245,17.0266280752533,14.5916594265856,4.61121437422553,9.42163742690059,7.40588056986966,9.26399253731343,6.5761724439266,13.3146651270208,6.99766491535318,18.6090594345066,7.23965721040189,5.1002138710663,5.99598832968636,5.3377324535093,9.35574148874784,7.33745947539051,3.04659498207885,6.7316781334131,9.49135802469136,9.65069739235901,15.8687247547605,15.3793998845932,5.28921244209133,15.331763320577,20.6442778898818,9.09970588235294,7.07104952830189,4.02805872756933,9.18271176640648,5.22852049910873,8.23765521224372,10.6395147313692,15.3268953588931,10.3564787914004,11.4499126383227,7.92796005706134,10.7898697539797,11.5600814663951,5.78605769230769,10.0090962441315,10.2137336504162,11.7533527696793,7.63463203463204,7.14493712772998,8.15773353751914,10.1054030115146,10.8377080665813,10.344020797227,6.03204492897258,4.88225138121547,7.40667267808837,5.62430598396052,14.653433787308,9.998846929951,6.09750911300122,13.3399174528302,8.83162958508719,7.13166243654822,13.3516483516484,11.4489030023095,18.5340843443096,13.0605361775728,7.72105111175282,6.79403541472507,8.05852941176471,7.89578850292038,7.99226963512678,10.4215402431963,10.8970417633411,6.37028088190879,7.38909892879647
Latvija,LV0,Latvija,6.55755395683453,16.2014388489209,14.4388489208633,14.7643884892086,16.5593525179856,12.2428057553957,34.9514388489209,37.1978417266187,30.568345323741,4.34990791896869,29.6708633093525,3.5863309352518,3.38475499092559,6.01978417266187,21.1330935251799,8.39855072463768,11.1187050359712,9.74640287769784,13.8111510791367,40.1492805755396,11.0827338129496,15.6690647482014,52.7913669064748,14.1618705035971,11.339928057554,41.4046762589928,8.4658273381295,7.11151079136691,9.30935251798561,11.5179856115108,8.27697841726619,24.2931654676259,9.52697841726619,14.5629496402878,5.04136690647482,14.6690647482014,12.6654676258993,6.69424460431655,13.7158273381295,8.25359712230216,14.4676258992806,19.7248201438849,37.5305755395683,50.1312949640288,11.0935251798561,20.3453237410072,3.38628158844765,26.5287769784173,6.03956834532374,26.3129496402878,14.7194244604317,14.6258992805755,4.0411214953271,28.7104316546763,23.5629496402878,12.5269784172662,52.2805755395684,9.31654676258993,48.0395683453237,32.8579136690647,7.51618705035971,30.0341726618705,20.091726618705,24.4226618705036,16.2841726618705,15.4172661870504,7.0431654676259,7.05935251798561,8.31115107913669,11.4298561151079,17.2931654676259,4.39208633093525,3.11330935251799,24.9424460431655,34.8327338129496,17.9154676258993,5.18525179856115,39.0107913669065,21.1888489208633,11.8237410071942,23.1097122302158,11.0125899280576,26.3579136690647,38.0467625899281,16.3021582733813,11.5485611510791,8.62410071942446,30.1402877697842,10.2535971223022,5.88129496402878,20.4694244604317,15.7823741007194,39.1169064748201
Liechtenstein,LI0,Liechtenstein,15,18,14,14,11,48,39,14,11,18,34,9,35,20,19,11,39,14,18,23,13,16,27,26,25,26,11,15,18,16,22,5,32,39,14,17,37,22,26,16,31,65,34,29,46,40,13,44,24,52,12,16,45,36,23,11,44,52,25,36,37,21,26,66,19,49,4,27,19,31,20,24,17,11,40,26,17,44,57,72,76,36,16,37,25,41,55,19,39,49,47,63,28
Centro (ES),ES4,Centro (ES),9.72727272727273,24.673957621326,23.9172932330827,16.1414900888585,6.28700486448923,23.3506493506494,26.9952153110048,16.3266986959506,8.2293956043956,13.0922761449077,9.95215311004785,11.4658002735978,17.1689466484268,37.0676691729323,12.0089102124743,29.6848940533151,11.2561643835616,12.7901572112098,20.5509227614491,16.8728639781271,23.174982911825,14.0881749829118,16.0915926179084,15.5926179084074,8.04390243902439,26.9172932330827,24.958988380041,31.1907040328093,19.1175666438824,18.4071281699794,16.3868762816131,20.9364319890636,27.8373205741627,14.8475734791524,39.907040328093,35.0444292549556,46.133971291866,30.8257006151743,27.4107997265892,33.4210526315789,23.6377306903623,18.4736842105263,33.0895420369105,7.1695652173913,34.9548872180451,11.2511978097194,40.0382775119617,11.9104579630895,31.53998632946,11.9692412850308,41.3103212576897,12.3917808219178,38.6336295283664,47.9685577580314,18.7997265892003,41.3130553656869,7.25453277545328,32.7908407382092,25.9651401230349,18.8419972640219,23.9528366370472,22.9945317840055,28.742993848257,23.3233082706767,22.4668489405331,35.5768967874231,24.2686261107314,18.0868079289132,25.958988380041,23.0068352699932,36.742993848257,64.5871496924129,15.6404647983595,12.46001367054,32.3362952836637,46.6042378673958,41.0861244019139,10.2065888812629,9.08189951823813,31.4894053315106,40.8612440191388,44.4456596035543,13.647983595352,20.7328767123288,31.9425837320574,24.3793574846206,33.0840738209159,25.2535885167464,21.9924812030075,61.0239234449761,11.8850889192886,22.3479152426521,30.0553656869446
Saarland,DEC,Saarland,15.8636363636364,36.4545454545455,59.5454545454546,10,13.9545454545455,36.2727272727273,20.0454545454545,19.4545454545455,5.95454545454545,44.8181818181818,51.8636363636364,20.8636363636364,23.3636363636364,10.6818181818182,13.8636363636364,26.1363636363636,37.0909090909091,24.5,29.4545454545455,36.0909090909091,17.1363636363636,11.8636363636364,28.0909090909091,25.6363636363636,15.9090909090909,22.0454545454545,29.5454545454545,10.0454545454545,12.1818181818182,8.18181818181818,26.3181818181818,6.40909090909091,56.6363636363636,35.4090909090909,17.3636363636364,14.5454545454545,45.9090909090909,17.7272727272727,11.3181818181818,27.4545454545455,25.7272727272727,56.2727272727273,44.6818181818182,26.2272727272727,47.4090909090909,42.5909090909091,4.13636363636364,72.2272727272727,4.81818181818182,66.9545454545455,25.3636363636364,33.6818181818182,24.7727272727273,28.5909090909091,54.8636363636364,31.1818181818182,31.2272727272727,29.6818181818182,16.5909090909091,51.9545454545455,18.3636363636364,10,55.7272727272727,45.3181818181818,6.04545454545455,33.1818181818182,8.54545454545455,51.0454545454545,15.1363636363636,56.1363636363636,13.6363636363636,6.86363636363636,36.8181818181818,17.3181818181818,22.9545454545455,11.4090909090909,11.4090909090909,86.2272727272727,51.9090909090909,79.1363636363636,67.5454545454546,22.6363636363636,28.8181818181818,31.0909090909091,15.6363636363636,57.5454545454546,39.0454545454545,33.2272727272727,68.9090909090909,42.1363636363636,46.0909090909091,37.6818181818182,42.7272727272727
Nord-Est,ITH,Nord-Est,15.9220183486239,30.6720183486239,12.8371559633028,13.9907407407407,11.4101941747573,29.0573394495413,50.9288990825688,4.03282828282828,15.3623853211009,22.0252293577982,9.60839160839161,6.6463700234192,25.2064220183486,10.8853211009174,6.42394014962594,25.2477064220183,29.2247706422018,19.2436781609195,29.0137614678899,11.9862385321101,23.006880733945,29.4243119266055,16.6605504587156,29.7408256880734,15.8899082568807,17.1077981651376,15.605504587156,21.348623853211,24.5229357798165,11.2110091743119,15.045871559633,23.1192660550459,20.7201834862385,53.4403669724771,44.4678899082569,44.2110091743119,38.9403669724771,27.0045871559633,20.1926605504587,40.2155963302752,29.0756880733945,53.3119266055046,31.5550458715596,12.4657534246575,53.0114678899083,21.1605504587156,36.0481651376147,36.3761467889908,22.0619266055046,49.1376146788991,30.7477064220183,11,41.8073394495413,40.348623853211,30.9197247706422,19.6536697247706,20.3073394495413,44.2201834862385,27.6559633027523,25.3761467889908,32.3807339449541,46.7844036697248,12.6995412844037,37.8302752293578,7.89461358313817,40.901376146789,11.8623853211009,26.644495412844,10.0344036697248,27.4403669724771,22.7912844036697,40.0321100917431,14.9908256880734,26.4059633027523,18.9747706422018,29.0894495412844,33.6857798165138,12.1685912240185,63.0711009174312,66.5894495412844,52.2637614678899,30.2637614678899,16.2155963302752,17.848623853211,40.1582568807339,25.0894495412844,48.6605504587156,23.4564220183486,48.0412844036697,35.5412844036697,36.3761467889908,45.651376146789,20.3922018348624
