NAME_LATN,NUTS_ID,NUTS_NAME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
South West (England),UKK,South West (England),7,4,3,4,7,3,3,10,7,6,3,6,9,12,11,12,6,25,4,15,41,7,14,9,4,4,28,14,11,6,7,0,16,9,7,6,25,23,0,14,12,18,4,62,27,8,5,52,13,37,24,4,77,48,81,72,26,48,47,40,24,48,62,58,92,62,70,66,49,60,73,83,38,13,71,82,83,72,75,88,78,55,92,64,91,85,91,84,73,42,83,92,72,41,83
Südösterreich,AT2,Südösterreich,8,8,17,11,12,10,11,14,13,26,9,7,21,11,13,23,21,22,19,12,13,13,17,12,8,22,30,28,48,15,18,4,48,16,30,28,43,33,76,36,52,31,22,17,49,56,18,60,53,59,64,45,34,71,72,62,58,47,73,73,44,58,66,74,78,83,71,77,69,85,85,92,82,86,84,87,86,92,89,89,82,86,83,91,89,90,88,92,85,92,88,85,91,88,90
Baden-Württemberg,DE1,Baden-Württemberg,8,3,10,5,6,7,10,8,14,14,9,3,13,9,10,14,6,21,12,13,12,10,10,9,9,9,26,8,25,4,0,0,12,22,16,8,31,7,40,12,26,16,5,18,5,30,5,60,28,25,33,19,4,30,51,47,14,37,27,34,21,16,26,51,40,51,39,33,11,49,59,74,31,49,43,36,44,42,56,76,36,29,58,30,67,53,58,68,35,71,59,42,42,49,56
Bourgogne-Franche-Comté,FRC,Bourgogne-Franche-Comté,8,3,6,7,5,4,11,4,12,10,11,3,13,7,10,24,11,22,10,16,6,13,11,6,6,6,31,14,24,10,6,0,13,23,23,7,41,12,39,11,18,21,9,28,7,23,4,70,25,21,42,16,7,35,55,55,20,42,33,41,15,19,27,44,60,51,40,37,11,59,64,76,41,52,44,44,51,43,64,86,45,30,72,43,74,54,67,85,38,60,64,61,55,52,67
Norra Sverige,SE3,Norra Sverige,8,16,4,5,14,16,18,33,13,32,14,22,15,28,17,36,21,31,15,23,50,28,25,29,23,28,28,38,41,29,41,47,36,48,53,63,63,56,31,33,52,69,49,63,51,70,60,49,53,60,63,64,60,79,59,64,68,71,68,71,82,86,78,76,79,73,91,88,89,89,87,87,87,68,92,84,78,91,89,91,89,92,88,92,89,92,89,89,92,92,91,92,92,92,92
Latvija,LV0,Latvija,3,12,7,6,13,4,7,11,20,14,0,31,8,53,10,27,18,18,7,15,39,34,11,42,6,23,20,56,64,37,11,17,41,46,16,13,59,69,15,51,17,59,32,27,33,56,48,75,67,40,33,29,72,67,58,46,77,36,83,74,78,39,80,61,43,74,91,92,90,91,91,92,84,44,92,66,81,92,90,92,92,91,89,90,91,88,91,91,92,92,92,92,92,92,92
Liechtenstein,LI0,Liechtenstein,6,0,6,3,3,0,6,6,10,18,8,0,7,9,9,13,7,15,12,6,8,5,3,6,3,3,18,5,22,5,0,0,6,15,16,5,14,4,39,10,23,14,4,17,8,31,5,47,28,23,30,13,0,24,48,39,16,28,24,34,12,13,22,38,30,48,33,28,8,47,53,71,35,46,38,28,38,48,45,67,32,26,47,17,63,52,56,67,36,69,56,38,37,45,47
Centro (ES),ES4,Centro (ES),11,7,12,20,7,7,14,9,11,24,15,19,18,24,31,27,21,30,28,16,20,38,13,17,28,36,26,38,36,17,30,25,29,52,39,40,46,31,67,29,39,43,57,36,64,49,39,51,54,33,62,60,39,48,62,59,52,59,69,69,71,62,43,72,75,65,63,55,51,80,76,82,84,86,84,80,85,67,90,91,78,80,88,91,80,86,92,92,86,89,87,88,89,91,91
Saarland,DEC,Saarland,7,0,3,4,0,3,4,4,13,7,4,0,6,6,7,16,3,17,6,14,12,7,6,9,8,3,21,9,18,6,0,0,6,11,9,9,28,11,19,11,4,10,4,16,3,17,3,51,17,20,32,8,7,27,45,43,7,30,16,23,9,10,19,36,40,43,40,36,0,45,62,68,22,33,34,27,31,36,49,81,22,19,59,23,61,39,63,64,28,47,54,42,26,36,53
Nord-Est,ITH,Nord-Est,16,6,28,19,19,11,19,16,16,30,11,8,36,18,22,32,24,28,26,19,41,28,45,20,8,31,33,31,66,28,48,16,70,37,36,41,75,43,89,49,50,43,52,65,57,65,23,74,71,74,77,68,45,87,88,86,78,70,83,88,67,70,73,85,88,88,82,90,84,91,90,92,83,92,88,90,88,92,92,92,85,91,91,92,91,92,92,92,90,92,92,91,92,91,92
